graphicID,sofFactionName,graphicFile,sofHullName,sofRaceName,description
1051,concordbase,,conc1_t1,concord,
1052,army,,conc1_t1,concord,
1053,specops,,conf1_t1,concord,
1054,swat,,conf1_t1,concord,
1055,army,,conf1_t1,concord,
1056,swat,,conc1_t1,concord,
1057,swat,,conb1_t1,concord,
1058,concordbase,,conb1_t1,concord,
1059,specops,,conb1_t1,concord,
1060,army,,conb1_t1,concord,
1064,amarrbase,,ai1_t1,amarr,
1065,amarrbase,,ac4_t1,amarr,
1066,amarrbase,,af2_t1,amarr,
1067,amarrnavy,,af9_t1,amarr,
1068,amarrbase,,as2,amarr,
1069,amarrbase,,as1,amarr,
1070,amarrbase,,as5,amarr,
1071,amarrbase,,as7,amarr,
1072,amarrbase,,as9,amarr,
1073,amarrbase,,as3,amarr,
1074,amarrbase,,as4,amarr,
1079,caldaribase,,cdh1_t1,caldari,
1080,laidai,,cdh1_t2,caldari,
1084,amarrbase,,adl1_t1,amarr,
1089,minmatarbase,,mdh1_t1,minmatar,
1095,creodron,,gdm1_t2,gallente,
1099,gallentebase,,gdl1_t1,gallente,
1100,creodron,,gdl1_t2,gallente,
1104,caldaribase,,cdl1_t1,caldari,
1109,carthum,,adm1_t2,amarr,
1115,creodron,,gdh1_t2,gallente,
1119,amarrbase,,adh1_t1,amarr,
1120,carthum,,adh1_t2,amarr,
1124,minmatarbase,,mdl1_t1,minmatar,
1125,boundlesscreation,,mdl1_t2,minmatar,
1132,minmatarbase,,ms2,minmatar,
1133,minmatarbase,,ms4,minmatar,
1134,minmatarbase,,ms1,minmatar,
1135,minmatarbase,,ms5,minmatar,
1136,minmatarbase,,ms6,minmatar,
1137,minmatarbase,,ms7,minmatar,
1138,minmatarbase,,ms3,minmatar,
1146,genericbase,,hollow,asteroid,
1147,,res:/dx9/model/worldobject/cloud/redcloud.red,,,
1159,genericmetal,,cryocs,generic,
1171,genericmetal,,securecl,generic,
1172,genericmetal,,securecm,generic,
1173,genericmetal,,securecs,generic,
1174,genericmetal,,standardcl,generic,
1175,genericmetal,,standardcm,generic,
1176,genericmetal,,standardcs,generic,
1211,genericbase,,beacon,generic,
1212,caldaribase,,csl_t1,caldari,
1213,gallentebase,,gsl01_t1,gallente,
1216,minmatarbase,,msl01_t1,minmatar,
1217,genericbase,,usj_t1,generic,
1219,roguebase,,rdl1_t1,rogue,
1220,roguebase,,rdm4_t1,rogue,
1221,roguebase,,rdh2_t1,rogue,
1222,roguebase,,rdm1_t1,rogue,
1223,roguebase,,rdm2_t1,rogue,
1224,roguebase,,rdl2_t1,rogue,
1225,roguebase,,rdl3_t1,rogue,
1226,roguebase,,rdl4_t1,rogue,
1227,roguebase,,rdm3_t1,rogue,
1229,roguebase,,rdh1_t1,rogue,
1230,roguebase,,rdl5_t1,rogue,
1231,soctbase,,soctbc1_t1,soct,
1232,soctbase,,soctde1_t1,soct,
1233,soctbase,,soctf1_t1,soct,
1235,khanid,,af8_t1,amarr,
1236,sanshabase,,sc1_t1,sansha,
1237,sanshabase,,sf1_t1,sansha,
1238,sanshabase,,sf2_t1,sansha,
1240,minmatarbase,,mf7_t1,minmatar,
1241,,res:/fisfx/lensflare/blue_sun.red,,,
1242,,res:/fisfx/lensflare/pink_hazy.red,,,
1243,,res:/fisfx/lensflare/orange_sun.red,,,
1244,,res:/fisfx/lensflare/pink_sun_small.red,,,
1245,,res:/fisfx/lensflare/orange_radiating.red,,,
1246,,res:/fisfx/lensflare/blue_small.red,,,
1247,,res:/fisfx/lensflare/yellow_small.red,,,
1248,,res:/fisfx/lensflare/white_tiny.red,,,
1249,amarrbase,,as8,amarr,
1251,caldaribase,,cs7,caldari,
1253,gallentebase,,gs4,gallente,
1254,gallentebase,,gs5,gallente,
1255,gallentebase,,gs6,gallente,
1256,gallentebase,,gs7,gallente,
1257,gallentebase,,gs8,gallente,
1258,caldaribase,,csmg,caldari,
1259,gallentebase,,gsg,gallente,
1260,gallentebase,,gsmg,gallente,
1261,gallentebase,,ghg,gallente,
1263,minmatarbase,,msg,minmatar,
1265,debris,,ud6,generic,
1266,amarrbase,,asd01,generic,
1267,caldaribase,,cs5,caldari,
1309,caldaribase,,cs8,caldari,
1373,amarrbase,,as6,amarr,
1375,isd,,conf2_t1,concord,
1376,swat,,conf2_t1,concord,
1637,khanid,,as4,amarr,
1669,,res:/dx9/model/worldobject/cloud/darkcloud.red,,,
1670,,res:/dx9/model/worldobject/cloud/darkgreencloud.red,,,
1671,,res:/dx9/model/worldobject/cloud/dustcloud.red,,,
1672,,res:/dx9/model/worldobject/cloud/ionloud.red,,,
1673,,res:/dx9/model/worldobject/cloud/sparkcloud.red,,,
1680,genericbase,,udd01,generic,
1681,genericbase,,udh02,generic,
1682,genericbase,,udh01,generic,
1683,genericbase,,ump01,generic,
1684,genericbase,,upg_t1,generic,
1685,genericbase,,usd_t1,generic,
1686,,res:/dx9/model/worldobject/cloud/darkgreyclouds.red,,,
1687,,res:/dx9/model/worldobject/cloud/darkgreyturbulentclouds.red,,,
1688,,res:/fisfx/cloud/electricclouds_v2.red,,,
1689,,res:/dx9/model/worldobject/cloud/fireclouds.red,,,
1690,,res:/dx9/model/worldobject/cloud/plasmaclouds.red,,,
1691,genericmetal,,ubc01,generic,
1692,gallentestory,,umo,generic,
1693,genericbase,,coral_01,asteroid,
1694,debris,,ud5,generic,
1695,genericbase,,ur01,generic,
1696,debris,,ud1,generic,
1697,debris,,ud2,generic,
1698,debris,,ud3,generic,
1699,debris,,ud4,generic,
1701,,res:/dx9/model/worldobject/cloud/debrisstorm.red,,,
1702,,res:/dx9/model/worldobject/cloud/meteorstorm.red,,,
1703,amarrbase,,abs3_t1,amarr,
1706,caldaribase,,cref1,caldari,
1707,caldaribase,,crep1,caldari,
1708,caldaribase,,cbs1_t1,caldari,
1709,minmatarbase,,mref01,minmatar,
1711,angelbase,,angbs2_t1,angel,
1712,gallentebase,,gbs2_t1,gallente,
1717,genericindustrial,,uab01,generic,
1718,gallenteinfested,,gb1_t1,gallente,
1725,genericpleasure,,usc01,generic,
1726,genericbase,,coral_02,asteroid,
1727,genericrelic,,ubp01,generic,
1728,amarrnavy,,ac1_t1,amarr,
1729,amarrnavy,,ac2_t1,amarr,
1730,amarrnavy,,ac3_t1,amarr,
1731,amarrnavy,,ac4_t1,amarr,
1732,amarrnavy,,af1_t1,amarr,
1733,amarrnavy,,af2_t1,amarr,
1734,amarrnavy,,af3_t1,amarr,
1735,amarrnavy,,af4_t1,amarr,
1736,amarrnavy,,af5_t1,amarr,
1737,amarrnavy,,af6_t1,amarr,
1738,ammatar,,ac1_t1,amarr,
1739,ammatar,,ac2_t1,amarr,
1740,ammatar,,ac3_t1,amarr,
1741,ammatar,,ac4_t1,amarr,
1743,ammatar,,af2_t1,amarr,
1744,ammatar,,af3_t1,amarr,
1745,ammatar,,af4_t1,amarr,
1746,ammatar,,af5_t1,amarr,
1748,ardishapur,,ac1_t1,amarr,
1751,viziam,,ac4_t2,amarr,
1758,bloodraider,,ac1_t1,amarr,
1759,bloodraider,,ac2_t1,amarr,
1760,bloodraider,,ac3_t1,amarr,
1761,bloodraider,,ac4_t1,amarr,
1762,bloodraider,,af1_t1,amarr,
1763,bloodraider,,af2_t1,amarr,
1764,bloodraider,,af3_t1,amarr,
1765,bloodraider,,af4_t1,amarr,
1766,bloodraider,,af5_t1,amarr,
1767,bloodraider,,af6_t1,amarr,
1770,roden,,gf3_t1,gallente,
1771,roden,,gf4_t2b,gallente,
1773,roden,,gf6_t2a,gallente,
1776,corecomplexion,,mc2_t2c,minmatar,
1777,corecomplexion,,mc3_t2c,minmatar,
1778,corecomplexion,,mc4_t2c,minmatar,
1779,corecomplexion,,mf1_t2c,minmatar,
1782,corecomplexion,,mf4_t1,minmatar,
1784,caldarinavy,,cc1_fn,caldari,
1785,caldarinavy,,cc2_t1,caldari,
1786,caldarinavy,,cc3_t1,caldari,
1787,caldarinavy,,cc4_t1,caldari,
1788,caldarinavy,,cf2_t1,caldari,
1789,caldarinavy,,cf4_t1,caldari,
1790,caldarinavy,,cf5_t1,caldari,
1791,caldarinavy,,cf6_t1,caldari,
1792,caldarinavy,,cf7_t1,caldari,
1793,caldarinavy,,cf3_t1,caldari,
1796,quafe,,gf3_t1,gallente,
1801,gallentenavy,,gc1_t1,gallente,
1802,gallentenavy,,gc2_t1,gallente,
1803,gallentenavy,,gc3_t1,gallente,
1804,gallentenavy,,gc4_t1,gallente,
1807,gallentenavy,,gf3_t1,gallente,
1808,gallentenavy,,gf4_t1,gallente,
1810,gallentenavy,,gf6_t1,gallente,
1811,gallentenavy,,gf7_t1,gallente,
1812,serpentis,,gc1_t1,gallente,
1813,serpentis,,gc2_t1,gallente,
1814,serpentis,,gc3_t1,gallente,
1815,serpentis,,gc4_t1,gallente,
1816,serpentis,,gf1_t1,gallente,
1817,serpentis,,gf2_t1,gallente,
1818,serpentis,,gf3_t1,gallente,
1819,serpentis,,gf4_t1,gallente,
1821,serpentis,,gf6_t1,gallente,
1822,serpentis,,gf7_t1,gallente,
1823,guristas,,cc1_t1,caldari,
1824,guristas,,cc2_t1,caldari,
1825,laidai,,cc3_t2,caldari,
1826,guristas,,cc4_t1,caldari,
1827,guristas,,cf2_t1,caldari,
1828,guristas,,cf4_t1,caldari,
1829,guristas,,cf5_t1,caldari,
1830,guristas,,cf6_t1,caldari,
1831,guristas,,cf7_t1,caldari,
1832,guristas,,cf3_t1,caldari,
1833,creodron,,gc1_t1,gallente,
1835,creodron,,gc3_t2,gallente,
1837,creodron,,gf1_t1,gallente,
1840,creodron,,gf4_t2a,gallente,
1841,creodron,,gf5_t2,gallente,
1843,creodron,,gf7_t1,gallente,
1845,kaalakiota,,cc2_t1,caldari,
1846,kaalakiota,,cc3_t1,caldari,
1847,kaalakiota,,cc4_t2b,caldari,
1848,kaalakiota,,cf2_t2a,caldari,
1849,kaalakiota,,cf4_t1,caldari,
1854,khanidinnovation,,ac1_t2a,amarr,
1855,khanidinnovation,,ac2_t2a,amarr,
1856,khanid,,ac3_t1,amarr,
1857,khanid,,ac4_t1,amarr,
1858,khanid,,af1_t1,amarr,
1859,khanid,,af2_t1,amarr,
1860,khanidinnovation,,af3_t2a,amarr,
1861,khanidinnovation,,af4_t2a,amarr,
1862,khanid,,af5_t1,amarr,
1864,kor-azor,,ac1_t1,amarr,
1868,kor-azor,,af1_t1,amarr,
1872,viziam,,af5_t2,amarr,
1876,laidai,,cc3_t1,caldari,
1878,laidai,,cf2_t2b,caldari,
1881,laidai,,cf6_t2,caldari,
1882,laidai,,cf7_t2a,caldari,
1884,minmatarnavy,,mc1_t1,minmatar,
1885,minmatarnavy,,mc2_t1,minmatar,
1886,minmatarnavy,,mc3_t1,minmatar,
1887,minmatarnavy,,mc4_t1,minmatar,
1888,minmatarnavy,,mf1_t1,minmatar,
1889,minmatarnavy,,mf2_t1,minmatar,
1890,minmatarnavy,,mf3_t1,minmatar,
1891,minmatarnavy,,mf4_t1,minmatar,
1892,minmatarnavy,,mf6_t1,minmatar,
1894,ishukone,,cc2_t2b,caldari,
1901,ishukone,,cf7_t2b,caldari,
1902,ishukone,,cf3_t2,caldari,
1903,duvolle,,gc1_t2a,gallente,
1909,duvolle,,gf3_t2,gallente,
1912,duvolle,,gf6_t2b,gallente,
1913,duvolle,,gf7_t2,gallente,
1914,carthum,,ac1_t2b,amarr,
1915,sarum,,ac2_t1,amarr,
1916,carthum,,ac3_t2,amarr,
1917,sarum,,ac4_t1,amarr,
1919,sarum,,af2_t1,amarr,
1920,carthum,,af3_t2b,amarr,
1921,carthum,,af4_t2b,amarr,
1922,sarum,,af5_t1,amarr,
1925,boundlesscreation,,mc2_t2a,minmatar,
1928,boundlesscreation,,mf1_t2a,minmatar,
1931,boundlesscreation,,mf4_t2a,minmatar,
1943,thukkermix,,mc1_t2b,minmatar,
1945,boundlesscreation,,mc3_t2a,minmatar,
1947,thukker,,mf1_t1,minmatar,
1948,thukkermix,,mf2_t2b,minmatar,
1949,thukker,,mf3_t1,minmatar,
1950,thukkermix,,mf4_t2b,minmatar,
1951,thukker,,mf6_t1,minmatar,
1954,wiyrkomi,,cc3_t1,caldari,
1960,wiyrkomi,,cf7_t1,caldari,
1965,minmatarnavy,,mf5_t1,minmatar,
1966,boundlesscreation,,mf5_t2a,minmatar,
1968,guristas,,cf1_t1,caldari,
1970,laidai,,cf1_t1,caldari,
1971,caldarinavy,,cf1_t1,caldari,
1973,corecomplexion,,mf7_t2c,minmatar,
1976,minmatarnavy,,mf7_t1,minmatar,
1977,,res:/dx9/model/worldobject/cloud/gaseoussuperlight.red,,,
1978,,res:/dx9/model/worldobject/cloud/longwispyorange.red,,,
1979,,res:/dx9/model/worldobject/cloud/yellowoval.red,,,
1980,,res:/dx9/model/worldobject/cloud/dustybrownstreak.red,,,
1981,,res:/dx9/model/worldobject/cloud/gaseouscloudlight.red,,,
1982,,res:/dx9/model/worldobject/cloud/wispyaqua.red,,,
1983,,res:/dx9/model/worldobject/cloud/cloud1.red,,,
1984,,res:/dx9/model/worldobject/cloud/greendusty.red,,,
1985,,res:/dx9/model/worldobject/cloud/cloud2.red,,,
1986,,res:/dx9/model/worldobject/cloud/aquapuff.red,,,
1987,,res:/dx9/model/worldobject/cloud/gaseuoscloud.red,,,
1988,,res:/dx9/model/worldobject/cloud/dustybrown.red,,,
1989,,res:/dx9/model/worldobject/cloud/greengasescloud.red,,,
1990,genericbase,,uas01_t1,generic,
1991,genericbase,,uas02_t1,generic,
1992,genericbase,,uas03_t1,generic,
1993,genericbase,,uas04_t1,generic,
1994,genericbase,,uas05_t1,generic,
1997,genericbase,,uas06_t1,generic,
1998,genericbase,,uas07_t1,generic,
1999,genericbase,,uas08_t1,generic,
2000,genericbase,,uas09_t1,generic,
2001,genericbase,,rf1,generic,
2002,genericbase,,rf2,generic,
2003,genericbase,,rf3,generic,
2004,genericbase,,rf4,generic,
2005,genericbase,,rf5,generic,
2006,genericbase,,rf6,generic,
2007,genericbase,,ust_t1,generic,
2008,jovebase,,js1,jove,
2032,,res:/Fisfx/Module/SmartBomb_EMP_Tr_T1a.red,,,
2033,,res:/Fisfx/Module/SmartBomb_Graviton_Tr_T1a.red,,,
2034,,res:/Fisfx/Module/SmartBomb_Photon_Tr_T1a.red,,,
2035,,res:/Fisfx/Module/SmartBomb_Plasma_Tr_T1a.red,,,
2043,gallentebase,,gs1_t1,gallente,
2044,amarrbase,,as1_t1,amarr,
2045,minmatarbase,,ms1_t1,minmatar,
2046,genericbase,,ubb01,generic,
2047,amarrbase,,acath01,generic,
2048,amarrbase,,acath02,generic,
2049,amarrbase,,acath03,generic,
2050,amarrbase,,acath04,generic,
2051,amarrbase,,acath05,generic,
2063,genericbase,,barren,generic,
2064,genericbase,,rf7,generic,
2069,genericmetal,,ucr,generic,
2090,genericmetal,,securecg,generic,
2091,genericmetal,,securech,generic,
2092,genericmetal,,securecc,generic,
2121,bloodraider,,ab1_t1,amarr,
2122,bloodraider,,ab2_t1,amarr,
2123,caldarinavy,,cb1_t1,caldari,
2138,gallentenavy,,gb1_t1,gallente,
2139,gallentenavy,,gb2_t1,gallente,
2140,roden,,gc1_t2b,gallente,
2141,roden,,gc2_t2,gallente,
2156,serpentis,,gb1_t1,gallente,
2157,serpentis,,gb2_t1,gallente,
2158,guristas,,cb1_t1,caldari,
2159,guristas,,cb2_t1,caldari,
2160,minmatarnavy,,mb1_t1,minmatar,
2239,amarrnavy,,ab1_t1,amarr,
2240,imperial,,ab2_t1,amarr,
2241,tournament-i,,af7_i,amarr,
2242,tournament-i,,af7_i,amarr,
2295,sanshabase,,sb1_t1,sansha,
2299,genericmetal,,genrefinery01_m,generic,
2300,genericmetal,,genrefinery01_s,generic,
2301,genericmetal,,gw01,generic,
2306,gallentebase,,gs2,gallente,
2307,gallentebase,,gs1,gallente,
2308,gallentebase,,gs3,gallente,
2309,genericmetal,,wd1_t1,generic,
2341,genericmetal,,wgs01,generic,
2342,,res:/dx9/model/worldobject/forcefield/forcefield_thermals.red,,,
2343,,res:/dx9/model/worldobject/forcefield/forcefield_thermalm.red,,,
2344,,res:/dx9/model/worldobject/forcefield/forcefield_thermall.red,,,
2345,,res:/dx9/model/worldobject/forcefield/forcefield_kinetics.red,,,
2346,,res:/dx9/model/worldobject/forcefield/forcefield_kineticm.red,,,
2347,,res:/dx9/model/worldobject/forcefield/forcefield_kineticl.red,,,
2349,,res:/dx9/model/worldobject/forcefield/forcefield_explosivem.red,,,
2350,,res:/dx9/model/worldobject/forcefield/forcefield_explosivel.red,,,
2351,,res:/dx9/model/worldobject/forcefield/forcefield_ems.red,,,
2352,,res:/dx9/model/worldobject/forcefield/forcefield_emm.red,,,
2353,,res:/dx9/model/worldobject/forcefield/forcefield_eml.red,,,
2357,angelbase,,angbs1_t1,angel,
2359,bloodraider,,abs1_t1,amarr,
2360,bloodraider,,abs3_t1,amarr,
2362,guristas,,cbs1_t1,caldari,
2363,sanshabase,,sbs2_t1,sansha,
2364,sanshabase,,sbs1_t1,sansha,
2366,genericindustrial,,gf01,generic,
2367,debris,,drill,generic,
2368,debris,,udw1,generic,
2369,smuggler,,ubb02_wreck,generic,
2372,genericmetal,,uarm01_t1,generic,
2373,genericmetal,,gl01,generic,
2374,genericmetal,,gpc01,generic,
2377,genericmetal,,gr01,generic,
2378,genericbase,,gh01,generic,
2380,genericmetal,,gsg01,generic,
2382,caldaribase,,cbc1_t1,caldari,
2383,gallentebase,,gbc1_t1,gallente,
2384,minmatarbase,,mbc1_t1,minmatar,
2385,amarrbase,,abc1_t1,amarr,
2387,amarrbase,,ade1_t1,amarr,
2388,caldaribase,,cde1_t1,caldari,
2389,gallentebase,,gde1_t1,gallente,
2390,minmatarbase,,mde1_t1,minmatar,
2393,,res:/fisfx/generic/forcefield/posforcefield.red,,,
2394,genericmetal,,ammocs,generic,
2395,genericmetal,,armorcs,generic,
2396,genericmetal,,electroniccs,generic,
2397,genericmetal,,mineralcs,generic,
2398,roguebase,,roguecs,rogue,
2399,genericmetal,,weaponcs,generic,
2400,amarrbase,,acath06,amarr,
2401,bloodraider,,acath06,amarr,
2402,genericbase,,uas10_t1,generic,
2403,genericbase,,ucr1,generic,
2404,amarrbase,,acath07,amarr,
2405,bloodraider,,acath07,amarr,
2406,roguebase,,rdss2,rogue,
2407,roguebase,,rdss1,rogue,
2408,gallentebase,,uc_gb2,gallente,
2409,genericbase,,ul01,generic,
2411,genericbase,,ghg_wreck,generic,
2412,genericindustrial,,ush01,generic,
2413,amarrbase,,ad_sentry,amarr,
2414,angelbase,,angd_sentry,angel,
2415,bloodraider,,ad_sentry,amarr,
2416,caldaribase,,cd_sentry,caldari,
2417,gallentebase,,gd_sentry,gallente,
2418,guristas,,cd_sentry,caldari,
2419,minmatarbase,,md_sentry,minmatar,
2420,sanshabase,,sd_sentry,sansha,
2421,serpentis,,gd_sentry,gallente,
2422,amarrbase,,ad_bunker,amarr,
2423,amarrbase,,ad_elevator,amarr,
2424,amarrbase,,ad_junction,amarr,
2425,amarrbase,,ad_lookout,amarr,
2426,amarrbase,,ad_wallx,amarr,
2427,amarrbase,,ad_wallxz,amarr,
2428,amarrbase,,ad_wallz,amarr,
2429,amarrbase,,ad_wallzx,amarr,
2430,amarrbase,,ad_missilebattery,amarr,
2431,angelbase,,angd_bunker,angel,
2432,angelbase,,angd_elevator,angel,
2433,angelbase,,angd_junction,angel,
2434,angelbase,,angd_lookout,angel,
2435,angelbase,,angd_missilebattery,angel,
2436,angelbase,,angd_wallx,angel,
2437,angelbase,,angd_wallxz,angel,
2438,angelbase,,angd_wallz,angel,
2439,angelbase,,angd_wallzx,angel,
2440,bloodraider,,ad_bunker,amarr,
2441,bloodraider,,ad_elevator,amarr,
2442,bloodraider,,ad_junction,amarr,
2443,bloodraider,,ad_lookout,amarr,
2444,bloodraider,,ad_missilebattery,amarr,
2445,bloodraider,,ad_wallx,amarr,
2446,bloodraider,,ad_wallxz,amarr,
2447,bloodraider,,ad_wallz,amarr,
2448,bloodraider,,ad_wallzx,amarr,
2449,caldaribase,,cd_elevator,caldari,
2450,caldaribase,,cd_junction,caldari,
2451,caldaribase,,cd_lookout,caldari,
2452,caldaribase,,cd_missilebattery,caldari,
2453,caldaribase,,cd_wallx,caldari,
2454,caldaribase,,cd_wallxz,caldari,
2455,caldaribase,,cd_wallz,caldari,
2456,caldaribase,,cd_wallzx,caldari,
2457,caldaribase,,cd_bunker,caldari,
2458,gallentebase,,gd_bunker,gallente,
2459,gallentebase,,gd_elevator,gallente,
2460,gallentebase,,gd_junction,gallente,
2461,gallentebase,,gd_lookout,gallente,
2462,gallentebase,,gd_missilebattery,gallente,
2463,gallentebase,,gd_wallx,gallente,
2464,gallentebase,,gd_wallxz,gallente,
2465,gallentebase,,gd_wallz,gallente,
2466,gallentebase,,gd_wallzx,gallente,
2467,guristas,,cd_greatwallx,caldari,
2468,guristas,,cd_missilebattery,caldari,
2470,guristas,,cd_bunker,caldari,
2471,guristas,,cd_elevator,caldari,
2472,guristas,,cd_junction,caldari,
2473,guristas,,cd_lookout,caldari,
2474,guristas,,cd_wallx,caldari,
2475,guristas,,cd_wallxz,caldari,
2476,guristas,,cd_wallz,caldari,
2477,guristas,,cd_wallzx,caldari,
2478,minmatarbase,,md_wallzx,minmatar,
2479,minmatarbase,,md_bunker,minmatar,
2480,minmatarbase,,md_elevator,minmatar,
2481,minmatarbase,,md_junction,minmatar,
2482,minmatarbase,,md_lookout,minmatar,
2483,minmatarbase,,md_missilebattery,minmatar,
2484,minmatarbase,,md_wallx,minmatar,
2485,minmatarbase,,md_wallxz,minmatar,
2486,minmatarbase,,md_wallz,minmatar,
2487,sanshabase,,sd_wallz,sansha,
2488,sanshabase,,sd_bunker,sansha,
2489,sanshabase,,sd_elevator,sansha,
2490,sanshabase,,sd_junction,sansha,
2491,sanshabase,,sd_lookout,sansha,
2492,sanshabase,,sd_missilebattery,sansha,
2493,sanshabase,,sd_wallx,sansha,
2494,sanshabase,,sd_wallxz,sansha,
2495,sanshabase,,sd_wallzx,sansha,
2496,serpentis,,gd_bunker,gallente,
2497,serpentis,,gd_elevator,gallente,
2498,serpentis,,gd_junction,gallente,
2499,serpentis,,gd_lookout,gallente,
2500,serpentis,,gd_missilebattery,gallente,
2501,serpentis,,gd_wallx,gallente,
2502,serpentis,,gd_wallxz,gallente,
2503,serpentis,,gd_wallz,gallente,
2504,serpentis,,gd_wallzx,gallente,
2505,genericbase,,urt1_t1,generic,
2506,eom,,af3_t1,amarr,
2507,eom,,af6_t1,amarr,
2508,eom,,ab1_t1,amarr,
2509,eom,,ab2_t1,amarr,
2510,eom,,ac1_t1,amarr,
2511,eom,,ac2_t1,amarr,
2513,genericmetal,,ua01_t1,generic,
2514,genericbrothel,,uh01,generic,
2515,genericliving,,uh01,generic,
2516,genericnarcotics,,uh01,generic,
2517,genericcasino,,uh01,generic,
2518,genericpleasure,,uh01,generic,
2519,police,,uh01,generic,
2520,genericprison,,uh01_prison,generic,
2521,genericroadhouse,,uh01,generic,
2522,orebase,,oreba3_t1,ore,
2523,orebase,,oreba2_t1,ore,
2524,orebase,,oreba1_t1,ore,
2565,roguebase,,rds1,rogue,
2566,roguebase,,rds2,rogue,
2583,roguebase,,dd_bunker,rogue,
2584,roguebase,,dd_elevator,rogue,
2585,roguebase,,dd_junction,rogue,
2586,roguebase,,dd_lookout,rogue,
2587,roguebase,,dd_missilebattery,rogue,
2588,roguebase,,dd_wallx,rogue,
2589,roguebase,,dd_wallxz,rogue,
2590,roguebase,,dd_wallz,rogue,
2591,roguebase,,dd_wallzx,rogue,
