effectID,effectName,effectCategory,preExpression,postExpression,description,guid,iconID,isOffensive,isAssistance,durationAttributeID,trackingSpeedAttributeID,dischargeAttributeID,rangeAttributeID,falloffAttributeID,disallowAutoRepeat,published,displayName,isWarpSafe,rangeChance,electronicChance,propulsionChance,distribution,sfxName,npcUsageChanceAttributeID,npcActivationChanceAttributeID,fittingUsageChanceAttributeID,modifierInfo
127,torpedoLaunching,1,,,None,effects.TorpedoDeployment,,0,0,,,,,,0,0,torpedoLaunching,0,0,0,0,,,,,,"null
...
"
132,skillEffect,0,,,None,,,0,0,,,,,,0,0,skillEffect,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 280
  modifyingAttributeID: 276
  operation: 2
- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 280
  modifyingAttributeID: 275
  operation: 9
"
146,damageMultiplierSkillBonus,0,,,Boost of damageMultiplier by PreMul of skillLevel,,0,0,0,,,,,,0,1,DamageBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 292
  modifyingAttributeID: 280
  operation: 0
"
152,skillBoostDamageMultiplierBonus,0,,,Boost of damageMultiplierBonus by PreMul of skillLevel,,0,0,0,,,,,,0,1,SkillBoostDamageMultiplierBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 292
  modifyingAttributeID: 280
  operation: 0
"
157,largeHybridTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringLargeHybridTurret,0,,,None,,0,0,0,,,,,,0,0,largeHybridTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringLargeHybridTurret,0,0,0,0,,,,,,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3307
"
159,mediumEnergyTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringMediumEnergyTurret,0,,,None,,0,0,0,,,,,,0,0,mediumEnergyTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringMediumEnergyTurret,0,0,0,0,,,,,,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3306
"
160,mediumHybridTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringMediumHybridTurret,0,,,None,,0,0,0,,,,,,0,0,mediumHybridTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringMediumHybridTurret,0,0,0,0,,,,,,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3304
"
161,mediumProjectileTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringMediumProjectileTurret,0,,,None,,0,0,0,,,,,,0,0,mediumProjectileTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringMediumProjectileTurret,0,0,0,0,,,,,,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3305
"
162,largeEnergyTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringLargeEnergyTurret,0,,,None,,0,0,0,,,,,,0,0,largeEnergyTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringLargeEnergyTurret,0,0,0,0,,,,,,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3309
"
163,rapidFiringSkillBoostRofBonus,0,,,None,,,0,0,,,,,,0,0,rapidFiringSkillBoostRofBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 293
  modifyingAttributeID: 280
  operation: 0
"
167,sharpshooterSkillBoostRangeSkillBonus,0,,,None,,0,0,0,,,,,,0,0,sharpshooterSkillBoostRangeSkillBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 294
  modifyingAttributeID: 280
  operation: 0
"
172,smallEnergyTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringSmallEnergyTurret,0,,,None,,0,0,0,,,,,,0,0,smallEnergyTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringSmallEnergyTurret,0,0,0,0,,,,,,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3303
"
173,smallHybridTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringSmallHybridTurret,0,,,None,,0,0,0,,,,,,0,0,smallHybridTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringSmallHybridTurret,0,0,0,0,,,,,,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3301
"
174,smallProjectileTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringSmallProjectileTurret,0,,,None,,0,0,0,,,,,,0,0,smallProjectileTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringSmallProjectileTurret,0,0,0,0,,,,,,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3302
"
187,caldariCruiserSkillBoostCcTRangeBonus,0,,,None,,0,0,0,,,,,,0,0,caldariCruiserSkillBoostCcTRangeBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 300
  modifyingAttributeID: 280
  operation: 0
"
189,caldariFrigateSkillBoostCfTRangeBonus,0,,,None,,0,0,0,,,,,,0,0,caldariFrigateSkillBoostCfTRangeBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 301
  modifyingAttributeID: 280
  operation: 0
"
204,signatureAnalysisSkillBoostScanspeedBonus,0,,,None,,0,0,0,,,,,,0,0,signatureAnalysisSkillBoostScanspeedBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 308
  modifyingAttributeID: 280
  operation: 0
"
205,signatureAnalysisScanspeedBonusPostPercentScanSpeedLocationShip,0,,,None,,0,0,0,,,,,,0,0,signatureAnalysisScanspeedBonusPostPercentScanSpeedLocationShip,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 79
  modifyingAttributeID: 308
  operation: 6
"
206,longRangeTargetingSkillBoostMaxTargetRangeBonus,0,,,None,,0,0,0,,,,,,0,0,longRangeTargetingSkillBoostMaxTargetRangeBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 309
  modifyingAttributeID: 280
  operation: 0
"
208,propulsionJammingSkillBoostDurationBonus,0,,,None,,0,0,0,,,,,,0,0,propulsionJammingSkillBoostDurationBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 66
  modifyingAttributeID: 280
  operation: 0
"
211,sensorUpgradesSkillBoostCpuNeedBonus,0,,,None,,0,0,0,,,,,,0,0,sensorUpgradesSkillBoostCpuNeedBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 310
  modifyingAttributeID: 280
  operation: 0
"
212,sensorUpgradesCpuNeedBonusPostPercentCpuLocationShipModulesRequiringSensorUpgrades,0,,,None,,0,0,0,,,,,,0,0,sensorUpgradesCpuNeedBonusPostPercentCpuLocationShipModulesRequiringSensorUpgrades,0,0,0,0,,,,,,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 50
  modifyingAttributeID: 310
  operation: 6
  skillTypeID: 3432
"
213,targetingSkillBoostMaxTargetBonus,0,,,None,,0,0,0,,,,,,0,0,targetingSkillBoostMaxTargetBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 311
  modifyingAttributeID: 280
  operation: 0
"
214,targetingMaxTargetBonusModAddMaxLockedTargetsLocationChar,0,,,None,,0,0,0,,,,,,0,0,targetingMaxTargetBonusModAddMaxLockedTargetsLocationChar,0,0,0,0,,,,,,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 192
  modifyingAttributeID: 311
  operation: 2
"
216,electronicWarfareSkillBoostDurationBonus,0,,,None,,0,0,0,,,,,,0,0,electronicWarfareSkillBoostDurationBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 312
  modifyingAttributeID: 280
  operation: 0
"
218,engineeringSkillBoostPowerOutputBonus,0,,,None,,0,0,0,,,,,,0,0,engineeringSkillBoostPowerOutputBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 313
  modifyingAttributeID: 280
  operation: 0
"
220,energyManagementSkillBoostCapRechargeBonus,0,,,None,,0,0,0,,,,,,0,0,energyManagementSkillBoostCapRechargeBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 314
  modifyingAttributeID: 280
  operation: 0
"
222,navigationSkillBoostVelocityBonus,0,,,None,,0,0,0,,,,,,0,0,navigationSkillBoostVelocityBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 315
  modifyingAttributeID: 280
  operation: 0
"
223,navigationVelocityBonusPostPercentMaxVelocityLocationShip,0,,,None,,0,0,0,,,,,,0,0,navigationVelocityBonusPostPercentMaxVelocityLocationShip,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 37
  modifyingAttributeID: 315
  operation: 6
"
225,accerationControlSkillBoostCapNeedBonus,0,,,None,,0,0,0,,,,,,0,0,accerationControlSkillBoostCapNeedBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 317
  modifyingAttributeID: 280
  operation: 0
"
227,accerationControlCapNeedBonusPostPercentCapacitorNeedLocationShipGroupAfterburner,0,,,None,,0,0,0,,,,,,0,0,accerationControlCapNeedBonusPostPercentCapacitorNeedLocationShipGroupAfterburner,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 46
  modifiedAttributeID: 6
  modifyingAttributeID: 317
  operation: 6
"
228,accerationControlSkillBoostSpeedFBonus,0,,,None,,0,0,0,,,,,,0,0,accerationControlSkillBoostSpeedFBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 318
  modifyingAttributeID: 280
  operation: 0
"
230,afterburnerDurationBonusPostPercentDurationLocationShipModulesRequiringAfterburner,0,,,None,,0,0,0,,,,,,0,0,afterburnerDurationBonusPostPercentDurationLocationShipModulesRequiringAfterburner,0,0,0,0,,,,,,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 73
  modifyingAttributeID: 66
  operation: 6
  skillTypeID: 3450
"
232,evasiveManuveringSkillBoostAgilityBonus,0,,,None,,0,0,0,,,,,,0,0,evasiveManuveringSkillBoostAgilityBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 151
  modifyingAttributeID: 280
  operation: 0
"
234,warpdriveoperationSkillBoostWarpCapacitorNeedBonus,0,,,None,,0,0,0,,,,,,0,0,warpdriveoperationSkillBoostWarpCapacitorNeedBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 319
  modifyingAttributeID: 280
  operation: 0
"
235,warpdriveoperationWarpCapacitorNeedBonusPostPercentWarpCapacitorNeedLocationShip,0,,,None,,0,0,0,,,,,,0,0,warpdriveoperationWarpCapacitorNeedBonusPostPercentWarpCapacitorNeedLocationShip,0,0,0,0,,,,,,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 153
  modifyingAttributeID: 319
  operation: 6
"
239,corporationManagementSkillBoostCorporationMemberBonus,0,,,None,,0,0,0,,,,,,0,0,corporationManagementSkillBoostCorporationMemberBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 191
  modifyingAttributeID: 280
  operation: 0
"
242,accerationControlSpeedFBonusPostPercentSpeedFactorLocationShipGroupAfterburner,0,,,None,,0,0,0,,,,,,0,0,accerationControlSpeedFBonusPostPercentSpeedFactorLocationShipGroupAfterburner,0,0,0,0,,,,,,"- domain: shipID
  func: LocationGroupModifier
  groupID: 46
  modifiedAttributeID: 20
  modifyingAttributeID: 318
  operation: 6
"
243,highSpeedManuveringSkillBoostCapacitorNeedMultiplier,0,,,None,,0,0,0,,,,,,0,0,highSpeedManuveringSkillBoostCapacitorNeedMultiplier,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 317
  modifyingAttributeID: 280
  operation: 0
"
244,highSpeedManuveringCapacitorNeedMultiplierPostPercentCapacitorNeedLocationShipModulesRequiringHighSpeedManuvering,0,,,None,,0,0,0,,,,,,0,0,highSpeedManuveringCapacitorNeedMultiplierPostPercentCapacitorNeedLocationShipModulesRequiringHighSpeedManuvering,0,0,0,0,,,,,,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 6
  modifyingAttributeID: 317
  operation: 6
  skillTypeID: 3454
"
246,sensorUpgradesSkillBoostPowerNeedBonus,0,,,None,,0,0,0,,,,,,0,0,sensorUpgradesSkillBoostPowerNeedBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 323
  modifyingAttributeID: 280
  operation: 0
"
251,hullUpgradesSkillBoostHullHpBonus,0,,,None,,0,0,0,,,,,,0,0,hullUpgradesSkillBoostHullHpBonus,0,0,0,0,,,,,,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 327
  modifyingAttributeID: 280
  operation: 0
"
