skinID,internalName,skinMaterialID
1120,Coercer Sarum Serenity Only,5
1121,Dragoon Khanid Serenity Only,4
1122,Dragoon Tash-Murkon Serenity Only,6
1123,Cormorant Guristas Serenity Only,26
1124,Algos Intaki Syndicate Serenity Only,16
1125,Hyperion Aliastra Serenity Only,13
1126,Hyperion Inner Zone Shipping Serenity Only,15
1127,Megathron Inner Zone Shipping Serenity Only,15
1128,Megathron Intaki Syndicate Serenity Only,16
1129,Maelstrom Krusual Serenity Only,22
1130,Maelstrom Nefantar Serenity Only,21
1131,Typhoon Krusual Serenity Only,22
1132,Orca ORE Development Serenity Only,31
1133,Rorqual ORE Development Serenity Only,31
1134,Tristan Quafe Serenity Only,3
1135,Maulus Inner Zone Shipping Serenity Only,15
1136,Maulus Intaki Syndicate Serenity Only,16
1137,Navitas Intaki Syndicate Serenity Only,16
1138,Tristan Inner Zone Shipping Serenity Only,15
1139,Imicus Inner Zone Shipping Serenity Only,15
1140,Imicus Intaki Syndicate Serenity Only,16
1141,Incursus Aliastra Serenity Only,13
1142,Incursus Inner Zone Shipping Serenity Only,15
1143,Oracle Khanid Serenity Only,4
1144,Thorax Aliastra Serenity Only,13
1145,Exequror Intaki Syndicate Serenity Only,16
1146,Vexor Intaki Syndicate Serenity Only,16
1147,Thorax Inner Zone Shipping Serenity Only,15
1148,Osprey Wiyrkomi Serenity Only,12
1149,Moa Laidai Serenity Only,9
1150,Celestis InterBus Serenity Only,17
1151,Celestis Intaki Syndicate Serenity Only,16
1152,Vexor Quafe Serenity Only,3
1154,Naglfar Justice Serenity Only,20
1155,Providence Ardishapur Serenity Only,1
1156,Punisher Tash-Murkon Serenity Only,6
1157,Punisher Kador Serenity Only,2
1158,Tormentor Sarum Serenity Only,5
1159,Tormentor Ardishapur Serenity Only,1
1160,Kestrel Wiyrkomi Serenity Only,12
1161,Heron Sukuuvestaa Serenity Only,11
1162,Merlin Wiyrkomi Serenity Only,12
1163,Merlin Nugoeihuvi Serenity Only,10
1164,Atron InterBus Serenity Only,17
1165,Atron Intaki Syndicate Serenity Only,16
1166,Nidhoggur Krusual Serenity Only,22
1167,Harbinger Kador Serenity Only,2
1168,Harbinger Khanid Serenity Only,4
1169,Scorpion Ishukone Serenity Only,7
1170,Dominix Inner Zone Shipping Serenity Only,15
1171,Rokh Nugoeihuvi Serenity Only,10
1172,Rokh Wiyrkomi Serenity Only,12
1173,Megathron Quafe Serenity Only,3
1174,Vexor InterBus Serenity,17
1175,Vargur Thukker Tribe,24
1177,Vargur Thukker Tribe Serenity Only,24
1178,Kronos Police Serenity Only,18
1179,Golem Kaalakiota Serenity Only,8
1180,Paladin Blood Raider Serenity Only,25
1181,Astero Sanctuary,34
1182,Astero Sanctuary Serenity Only,34
1183,Stratios Sanctuary,34
1184,Stratios Sanctuary Serenity Only,34
1185,Nestor Sanctuary,34
1186,Nestor Sanctuary Serenity Only,34
1606,Executioner EoM,38
1607,Inquisitor EoM,38
1608,Tormentor EoM,38
1609,Punisher EoM,38
1610,Maller EoM,38
1611,Augoror EoM,38
1612,Arbitrator EoM,38
1613,Apocalypse EoM,38
1614,Armageddon EoM,38
1615,Bestower EoM,38
1616,Omen EoM,38
1617,Crucifier EoM,38
1618,Oracle EoM,38
1619,Crusader EoM,38
1620,Malediction EoM,38
1621,Anathema EoM,38
1622,Sentinel EoM,38
1623,Vengeance EoM,38
1624,Retribution EoM,38
1625,Avatar EoM,38
1626,Pilgrim EoM,38
1627,Guardian EoM,38
1628,Zealot EoM,38
1629,Devoter EoM,38
1630,Sacrilege EoM,38
1631,Purifier EoM,38
1632,Prorator EoM,38
1633,Impel EoM,38
1634,Prophecy EoM,38
1635,Coercer EoM,38
1636,Imperial Navy Slicer EoM,38
1637,Omen Navy Issue EoM,38
1638,Apocalypse Navy Issue EoM,38
1639,Revelation EoM,38
1640,Sigil EoM,38
1641,Curse EoM,38
1642,Providence EoM,38
1643,Redeemer EoM,38
1644,Absolution EoM,38
1645,Heretic EoM,38
1646,Damnation EoM,38
1647,Archon EoM,38
1648,Aeon EoM,38
1649,Abaddon EoM,38
1650,Harbinger EoM,38
1651,Paladin EoM,38
1652,Ark EoM,38
1653,Magnate EoM,38
1654,Augoror Navy Issue EoM,38
1655,Armageddon Navy Issue EoM,38
1656,Dragoon EoM,38
1657,Harbinger Navy Issue EoM,38
1658,Bantam Wiyrkomi,12
1659,Condor Wiyrkomi,12
1660,Griffin Wiyrkomi,12
1661,Heron Wiyrkomi,12
1662,Moa Wiyrkomi,12
1663,Blackbird Wiyrkomi,12
1664,Scorpion Wiyrkomi,12
1665,Badger Wiyrkomi,12
1666,Leviathan Wiyrkomi,12
1667,Crow Wiyrkomi,12
1668,Raptor Wiyrkomi,12
1669,Buzzard Wiyrkomi,12
1670,Kitsune Wiyrkomi,12
1671,Hawk Wiyrkomi,12
1672,Harpy Wiyrkomi,12
1673,Falcon Wiyrkomi,12
1674,Rook Wiyrkomi,12
1675,Basilisk Wiyrkomi,12
1676,Cerberus Wiyrkomi,12
1677,Onyx Wiyrkomi,12
1678,Eagle Wiyrkomi,12
1679,Manticore Wiyrkomi,12
1680,Crane Wiyrkomi,12
1681,Bustard Wiyrkomi,12
1682,Ferox Wiyrkomi,12
1683,Cormorant Wiyrkomi,12
1684,Caldari Navy Hookbill Wiyrkomi,12
1685,Caracal Navy Issue Wiyrkomi,12
1686,Raven Navy Issue Wiyrkomi,12
1687,Widow Wiyrkomi,12
1688,Vulture Wiyrkomi,12
1689,Flycatcher Wiyrkomi,12
1690,Nighthawk Wiyrkomi,12
1691,Chimera Wiyrkomi,12
1692,Drake Wiyrkomi,12
1693,Golem Wiyrkomi,12
1694,Rhea Wiyrkomi,12
1695,Osprey Navy Issue Wiyrkomi,12
1696,Scorpion Navy Issue Wiyrkomi,12
1697,Corax Wiyrkomi,12
1698,Drake Navy Issue Wiyrkomi,12
1699,Tristan Intaki Syndicate,16
1700,Incursus Intaki Syndicate,16
1701,Thorax Intaki Syndicate,16
1702,Nereus Intaki Syndicate,16
1703,Kryos Intaki Syndicate,16
1704,Epithal Intaki Syndicate,16
1705,Miasmos Intaki Syndicate,16
1706,Iteron Mark V Intaki Syndicate,16
1707,Erebus Intaki Syndicate,16
1708,Talos Intaki Syndicate,16
1709,Helios Intaki Syndicate,16
1710,Keres Intaki Syndicate,16
1711,Taranis Intaki Syndicate,16
1712,Ares Intaki Syndicate,16
1713,Nemesis Intaki Syndicate,16
1714,Arazu Intaki Syndicate,16
1715,Lachesis Intaki Syndicate,16
1716,Oneiros Intaki Syndicate,16
1717,Ishtar Intaki Syndicate,16
1718,Phobos Intaki Syndicate,16
1719,Deimos Intaki Syndicate,16
1720,Ishkur Intaki Syndicate,16
1721,Enyo Intaki Syndicate,16
1722,Viator Intaki Syndicate,16
1723,Occator Intaki Syndicate,16
1724,Megathron Navy Issue Intaki Syndicate,16
1725,Federation Navy Comet Intaki Syndicate,16
1726,Vexor Navy Issue Intaki Syndicate,16
1727,Moros Intaki Syndicate,16
1728,Obelisk Intaki Syndicate,16
1729,Sin Intaki Syndicate,16
1730,Eos Intaki Syndicate,16
1731,Eris Intaki Syndicate,16
1732,Astarte Intaki Syndicate,16
1733,Thanatos Intaki Syndicate,16
1734,Nyx Intaki Syndicate,16
1735,Hyperion Intaki Syndicate,16
1736,Kronos Intaki Syndicate,16
1737,Anshar Intaki Syndicate,16
1738,Exequror Navy Issue Intaki Syndicate,16
1739,Dominix Navy Issue Intaki Syndicate,16
1740,Brutix Navy Issue Intaki Syndicate,16
1741,Slasher Justice,20
1742,Probe Justice,20
1743,Rifter Justice,20
1744,Breacher Justice,20
1745,Burst Justice,20
1746,Stabber Justice,20
1747,Rupture Justice,20
1748,Bellicose Justice,20
1749,Scythe Justice,20
1750,Typhoon Justice,20
1751,Hoarder Justice,20
1752,Mammoth Justice,20
1753,Wreathe Justice,20
1754,Vigil Justice,20
1755,Tornado Justice,20
1756,Cheetah Justice,20
1757,Claw Justice,20
1758,Stiletto Justice,20
1759,Wolf Justice,20
1760,Hyena Justice,20
1761,Jaguar Justice,20
1762,Huginn Justice,20
1763,Rapier Justice,20
1764,Scimitar Justice,20
1765,Vagabond Justice,20
1766,Broadsword Justice,20
1767,Muninn Justice,20
1768,Hound Justice,20
1769,Prowler Justice,20
1770,Mastodon Justice,20
1771,Cyclone Justice,20
1772,Thrasher Justice,20
1773,Stabber Fleet Issue Justice,20
1774,Tempest Fleet Issue Justice,20
1775,Republic Fleet Firetail Justice,20
1776,Fenrir Justice,20
1777,Panther Justice,20
1778,Sleipnir Justice,20
1779,Sabre Justice,20
1780,Claymore Justice,20
1781,Hel Justice,20
1782,Ragnarok Justice,20
1783,Nidhoggur Justice,20
1784,Maelstrom Justice,20
1785,Hurricane Justice,20
1786,Nomad Justice,20
1787,Scythe Fleet Issue Justice,20
1788,Typhoon Fleet Issue Justice,20
1789,Talwar Justice,20
1790,Hurricane Fleet Issue Justice,20
1794,Ishtar Golden,59
1795,Dominix Golden,59
1796,Vagabond Golden,58
1797,Tornado Golden,58
1798,Nyx Umbral,60
1918,Bantam Raata Sunset,67
1919,Condor Raata Sunset,67
1920,Griffin Raata Sunset,67
1921,Heron Raata Sunset,67
1922,Kestrel Raata Sunset,67
1923,Merlin Raata Sunset,67
1924,Harpy Raata Sunset,67
1925,Hawk Raata Sunset,67
1926,Buzzard Raata Sunset,67
1927,Manticore Raata Sunset,67
1928,Kitsune Raata Sunset,67
1929,Crow Raata Sunset,67
1930,Raptor Raata Sunset,67
1931,Corax Raata Sunset,67
1932,Cormorant Raata Sunset,67
1933,Flycatcher Raata Sunset,67
1934,Blackbird Raata Sunset,67
1935,Caracal Raata Sunset,67
1936,Moa Raata Sunset,67
1937,Osprey Raata Sunset,67
1938,Cerberus Raata Sunset,67
1939,Eagle Raata Sunset,67
1940,Onyx Raata Sunset,67
1941,Basilisk Raata Sunset,67
1942,Falcon Raata Sunset,67
1943,Rook Raata Sunset,67
1944,Drake Raata Sunset,67
1945,Ferox Raata Sunset,67
1946,Naga Raata Sunset,67
1947,Nighthawk Raata Sunset,67
1948,Vulture Raata Sunset,67
1949,Raven Raata Sunset,67
1950,Rokh Raata Sunset,67
1951,Scorpion Raata Sunset,67
1952,Widow Raata Sunset,67
1953,Golem Raata Sunset,67
1954,Phoenix Raata Sunset,67
1955,Chimera Raata Sunset,67
1956,Wyvern Raata Sunset,67
1957,Leviathan Raata Sunset,67
1958,Badger Raata Sunset,67
1959,Tayra Raata Sunset,67
1960,Crane Raata Sunset,67
1961,Bustard Raata Sunset,67
1962,Charon Raata Sunset,67
1963,Rhea Raata Sunset,67
1982,Bantam Blue Tiger,68
1983,Condor Blue Tiger,68
1984,Griffin Blue Tiger,68
1985,Heron Blue Tiger,68
1986,Kestrel Blue Tiger,68
1987,Merlin Blue Tiger,68
1988,Harpy Blue Tiger,68
1989,Hawk Blue Tiger,68
1990,Buzzard Blue Tiger,68
1991,Manticore Blue Tiger,68
1992,Kitsune Blue Tiger,68
1993,Crow Blue Tiger,68
1994,Raptor Blue Tiger,68
1995,Corax Blue Tiger,68
1996,Cormorant Blue Tiger,68
1997,Flycatcher Blue Tiger,68
1998,Blackbird Blue Tiger,68
1999,Caracal Blue Tiger,68
2000,Moa Blue Tiger,68
2001,Osprey Blue Tiger,68
2002,Cerberus Blue Tiger,68
2003,Eagle Blue Tiger,68
2004,Onyx Blue Tiger,68
2005,Basilisk Blue Tiger,68
2006,Falcon Blue Tiger,68
2007,Rook Blue Tiger,68
2008,Drake Blue Tiger,68
2009,Ferox Blue Tiger,68
2010,Naga Blue Tiger,68
2011,Nighthawk Blue Tiger,68
2012,Vulture Blue Tiger,68
2013,Raven Blue Tiger,68
2014,Rokh Blue Tiger,68
2015,Scorpion Blue Tiger,68
2016,Widow Blue Tiger,68
2017,Golem Blue Tiger,68
2018,Phoenix Blue Tiger,68
2019,Chimera Blue Tiger,68
2020,Wyvern Blue Tiger,68
2021,Leviathan Blue Tiger,68
2022,Badger Blue Tiger,68
2023,Tayra Blue Tiger,68
2024,Crane Blue Tiger,68
2025,Bustard Blue Tiger,68
2026,Charon Blue Tiger,68
2027,Rhea Blue Tiger,68
2028,Breacher Valklear Glory,69
2029,Burst Valklear Glory,69
2030,Probe Valklear Glory,69
2031,Rifter Valklear Glory,69
2032,Slasher Valklear Glory,69
2033,Vigil Valklear Glory,69
2034,Jaguar Valklear Glory,69
2035,Wolf Valklear Glory,69
2036,Cheetah Valklear Glory,69
2037,Hound Valklear Glory,69
2038,Hyena Valklear Glory,69
2039,Claw Valklear Glory,69
2040,Stiletto Valklear Glory,69
2041,Talwar Valklear Glory,69
2042,Thrasher Valklear Glory,69
2043,Sabre Valklear Glory,69
2044,Bellicose Valklear Glory,69
2045,Rupture Valklear Glory,69
2046,Scythe Valklear Glory,69
2047,Stabber Valklear Glory,69
2048,Muninn Valklear Glory,69
2049,Vagabond Valklear Glory,69
2050,Broadsword Valklear Glory,69
2051,Scimitar Valklear Glory,69
2052,Huginn Valklear Glory,69
2053,Rapier Valklear Glory,69
2054,Cyclone Valklear Glory,69
2055,Hurricane Valklear Glory,69
2056,Tornado Valklear Glory,69
2057,Claymore Valklear Glory,69
2058,Sleipnir Valklear Glory,69
2059,Maelstrom Valklear Glory,69
2060,Tempest Valklear Glory,69
2061,Typhoon Valklear Glory,69
2062,Panther Valklear Glory,69
2063,Vargur Valklear Glory,69
2064,Naglfar Valklear Glory,69
2065,Nidhoggur Valklear Glory,69
2066,Hel Valklear Glory,69
2067,Ragnarok Valklear Glory,69
2068,Hoarder Valklear Glory,69
2069,Mammoth Valklear Glory,69
2070,Wreathe Valklear Glory,69
2071,Prowler Valklear Glory,69
2072,Mastodon Valklear Glory,69
2073,Fenrir Valklear Glory,69
2074,Nomad Valklear Glory,69
2075,Breacher Blue Tiger,70
2076,Burst Blue Tiger,70
2077,Probe Blue Tiger,70
2078,Rifter Blue Tiger,70
2079,Slasher Blue Tiger,70
2080,Vigil Blue Tiger,70
2081,Jaguar Blue Tiger,70
2082,Wolf Blue Tiger,70
2083,Cheetah Blue Tiger,70
2084,Hound Blue Tiger,70
2085,Hyena Blue Tiger,70
2086,Claw Blue Tiger,70
2087,Stiletto Blue Tiger,70
2088,Talwar Blue Tiger,70
2089,Thrasher Blue Tiger,70
2090,Sabre Blue Tiger,70
2091,Bellicose Blue Tiger,70
2092,Rupture Blue Tiger,70
2093,Scythe Blue Tiger,70
2094,Stabber Blue Tiger,70
2095,Muninn Blue Tiger,70
2096,Vagabond Blue Tiger,70
2097,Broadsword Blue Tiger,70
2098,Scimitar Blue Tiger,70
2099,Huginn Blue Tiger,70
2100,Rapier Blue Tiger,70
2101,Cyclone Blue Tiger,70
2102,Hurricane Blue Tiger,70
2103,Tornado Blue Tiger,70
2104,Claymore Blue Tiger,70
2105,Sleipnir Blue Tiger,70
2106,Maelstrom Blue Tiger,70
2107,Tempest Blue Tiger,70
2108,Typhoon Blue Tiger,70
2109,Panther Blue Tiger,70
2110,Vargur Blue Tiger,70
2111,Naglfar Blue Tiger,70
2112,Nidhoggur Blue Tiger,70
2113,Hel Blue Tiger,70
2114,Ragnarok Blue Tiger,70
2115,Hoarder Blue Tiger,70
2116,Mammoth Blue Tiger,70
2117,Wreathe Blue Tiger,70
2118,Prowler Blue Tiger,70
2119,Mastodon Blue Tiger,70
2120,Fenrir Blue Tiger,70
2121,Nomad Blue Tiger,70
2131,Sansha Victory,74
2173,Ishtar Golden Serenity Only,59
2174,Dominix Golden Serenity Only,59
2175,Vagabond Golden Serenity Only,58
2176,Tornado Golden Serenity Only,58
2180,Abaddon Blood Raiders,25
2181,Executioner Blood Raiders,25
2182,Harbinger Blood Raiders,25
2183,Omen Blood Raiders,25
2184,Incursus Quafe,3
2185,Hyperion Quafe,3
2186,Thorax Quafe,3
2187,Crucifier Raata Sunset,82
2188,Executioner Raata Sunset,82
2189,Inquisitor Raata Sunset,82
2190,Magnate Raata Sunset,82
2191,Punisher Raata Sunset,82
2192,Tormentor Raata Sunset,82
2193,Retribution Raata Sunset,82
2194,Vengeance Raata Sunset,82
2195,Anathema Raata Sunset,82
2196,Purifier Raata Sunset,82
2197,Sentinel Raata Sunset,82
2198,Crusader Raata Sunset,82
2199,Malediction Raata Sunset,82
2200,Coercer Raata Sunset,82
2201,Dragoon Raata Sunset,82
2202,Heretic Raata Sunset,82
2203,Arbitrator Raata Sunset,82
2204,Augoror Raata Sunset,82
2205,Maller Raata Sunset,82
2206,Omen Raata Sunset,82
2207,Sacrilege Raata Sunset,82
2208,Zealot Raata Sunset,82
2209,Devoter Raata Sunset,82
2210,Guardian Raata Sunset,82
2211,Curse Raata Sunset,82
2212,Pilgrim Raata Sunset,82
2213,Harbinger Raata Sunset,82
2214,Oracle Raata Sunset,82
2215,Prophecy Raata Sunset,82
2216,Absolution Raata Sunset,82
2217,Damnation Raata Sunset,82
2218,Abaddon Raata Sunset,82
2219,Apocalypse Raata Sunset,82
2220,Armageddon Raata Sunset,82
2221,Redeemer Raata Sunset,82
2222,Paladin Raata Sunset,82
2223,Revelation Raata Sunset,82
2224,Archon Raata Sunset,82
2225,Aeon Raata Sunset,82
2226,Avatar Raata Sunset,82
2227,Bestower Raata Sunset,82
2228,Sigil Raata Sunset,82
2229,Prorator Raata Sunset,82
2230,Impel Raata Sunset,82
