corporationID,corporationName,size,extent,solarSystemID,investorID1,investorShares1,investorID2,investorShares2,investorID3,investorShares3,investorID4,investorShares4,friendID,enemyID,publicShares,initialPrice,minSecurity,scattered,fringe,corridor,hub,border,factionID,sizeFactor,stationCount,stationSystemCount,description,iconID
1000016,Zainou,S,N,30001397,,,,,,,,,1000038,1000004,4999329632,95,1.0,,,,,,500001,,,,"A biotech company founded by the eccentric Todo Kirkinen, the first man to have his mind transferred into a machine. Zainou has from its inception been at the forefront of bio-chemical and nano-mechanical research, its headquarters are described as a combination of a mad scientist's lab and a jungle zoo.",1594
1000017,Nugoeihuvi Corporation,L,G,30000156,,,,,,,,,1000025,1000010,26978049822,70,-1.0,,,,,,500001,,,,"The only Caldari mega corporation that has focused on the entertainment industry. NOH, as they're commonly called, have always been suspected of strong ties to the Caldari underworld, mainly because many of their products cater to that social element or are on the borderline of legality.",1595
1000018,Echelon Entertainment,S,N,30001402,,,,,,,,,1000031,1000034,1361927628,58,0.0,,,,,,500001,,,,Echelon Entertainment was created by the Kaalakiota Corporation as a direct answer to NOH. Though NOH still has an overwhelming market share in the entertainment industry Echelon Entertainment has still managed to shine on its own and their products are becoming more and more popular.,1596
1000019,Ishukone Corporation,L,G,30001393,,,,,,,,,1000005,1000020,19893328259,78,0.0,,,,,,500001,,,,"Ishukone was for a long time the feeblest of the Caldari mega corporations, but contact with the Jovians changed that. Ishukone was the first company to establish trade links with the Jovians and received the capsule technology from the Jovians, which made Ishukone billions of ISK in revenue before other companies could catch up. Ishukone is still reaping the rewards of their good relations with the Jovians and it possesses the most advanced technology outside Jove space.",1597
1000020,Lai Dai Corporation,L,N,30001404,,,,,,,,,1000037,1000019,20317698519,59,0.0,,,,,,500001,,,,Lai Dai has always advocated quality over quantity and their products have always been of the highest standard. Lai Dai has an energetic research program and rivals the great Ishukone in technological achievements.,1598
1000021,Zero-G Research Firm,T,C,30001398,,,,,,,,,1000004,1000023,1824839400,4,0.0,,,,,,500013,,,,"A research firm specializing in space habitats and life support modules. In its heyday, Zero-G was hailed as the great hope of the Caldari people. Over multiple decades poor financing resulted in a steady decline until the company was rescued by EverMore, who purchased the failing corporation and heavily invested in new infrastructure and research funding.",1599
1000022,Propel Dynamics,S,N,30001358,,,,,,,,,1000128,1000012,9331760170,75,0.0,,,,,,500001,,,,Propel Dynamics was founded by the team that discovered the first functional warp drive for short jumps within a system. Though it has never managed to live up to its early expectation the company has always turned out innovative and interesting designs that have driven the field of propulsion forward.,1600
1000023,Expert Distribution,H,G,30000154,,,,,,,,,1000036,1000018,4729685244,69,0.0,,,,,,500001,,,,"The Expert brand can today be seen in all major cities in the world of EVE, this retail company has seen phenomenal growth in the last decade, thanks to their self-service policy and low overhead. Part of the NOH family, Expert Distribution is Caldari's answer to the large Gallentean retail chains that have dominated the market in the past.",1601
1000024,CBD Sell Division,M,R,30002778,,,,,,,,,1000041,1000030,1607112413,37,0.0,,,,,,500001,,,,"Originally part of the mother company CBD, the CBD Sell Division was made independent some years ago in an effort to revitalize the stale retail business of the company. This paid off and the Sell Division has shown steady profit ever since it was created.",1602
1000025,Sukuuvestaa Corporation,H,N,30000146,,,,,,,,,1000015,1000011,67114560000,37,0.0,,,,,,500001,,,,"Sukuuvestaa, or SuVee as it is commonly called, is the largest real estate dealer within the Caldari State, it is estimated that they and the companies under them own nearly 40% of all land in Caldari space. SuVee is the second largest of the Caldari mega corporations and is known for its ruthless, often unethical, business practices.",1537
1000026,Caldari Constructions,L,N,30001403,,,,,,,,,1000011,1000015,9700261523,61,0.0,,,,,,500001,,,,"After the great exodus during the Caldari Breakout when the Caldari left their home planet, a new state had to be built from the scratch in very short time. Caldari Constructions was one of the companies that participated in that great effort and it has been living on this past achievement ever since. Though not very active any more in the wheeling and dealing of power politics it still holds some very valuable cards on its hand.",1604
1000027,Expert Housing,M,N,30000143,,,,,,,,,1000032,1000026,3261809045,45,0.0,,,,,,500001,,,,"Expert Housing was founded at the same time as Expert Distribution, but the two sibling companies have fared very differently. While Expert Distribution has been a continuous success story Expert Housing has suffered in a tough, highly competitive real estate market. The company is on the lookout for investment funds, which it hopes will help revive it.",1605
1000028,Caldari Funds Unlimited,S,N,30001400,,,,,,,,,1000021,1000016,9843934531,62,0.0,,,,,,500001,,,,"Caldari Funds Unlimited is an umbrella organization for many of the largest pension funds in the Caldari State. These funds have extremely deep pockets, but they are also extremely careful what they do with their money. The CFU has participated in some great investment programs in the past, but they refrain from anything that is remotely risky.",1606
1000029,State and Region Bank,S,N,30001357,,,,,,,,,1000018,1000003,9683616052,24,1.0,,,,,,500001,,,,"The S&R Bank represents old money, money from the old, established upper class families. In recent years, with younger and more energetic management, the bank has become more involved in space industry investment, though on a small scale.",1607
1000030,Modern Finances,S,G,30000126,,,,,,,,,1000027,1000028,8963639176,64,0.0,,,,,,500001,,,,"The largest investment company in the world of EVE, Modern Finances is a progressive corporation willing to take chances and bet on high risk projects. The company has helped many prominent Caldari companies break out of the Caldari State and establish markets elsewhere, but Modern Finances are also heavily involved in foreign investment, especially in the Khanid Kingdom.",1608
1000031,Chief Executive Panel,S,N,30000145,,,,,,,,,1000010,1000035,100000000,20,1.0,,,,,,500001,,,,"The Chief Executive Panel is a political entity jointly owned and run by the Caldari mega corporations. The CEOs of the mega corporations sit on the board of the Panel and make sure the mega corporations don't go overboard in competing with each other, smoothing over potential conflicts before they escalate out of control. The Panel also handles the foreign policy of the Caldari State. It is the closest thing to a Caldari government as there ever will be.",1609
1000032,Mercantile Club,S,N,30000127,,,,,,,,,1000017,1000033,5346749,101,2.0,,,,,,500001,,,,"The Mercantile Club has grown from being a simple gentleman's club into a full fledged political entity, such are the peculiarities of the Caldari governmental apparatus. The Mercantile Club is a meeting place for diplomats, business men, CEOs and politicians to make deals and discuss matters of the state.",1610
1000033,Caldari Business Tribunal,H,G,30000140,,,,,,,,,1000030,1000031,100000000,20,1.0,,,,,,500001,,,,"The Caldari are not known to bicker over lost deals or ruthless competition, but when they do, this is the place they come to. The tribunal is the only organization within the Caldari State authorized to cancel deals or agreements made between companies.",1611
1000034,House of Records,T,N,30000145,,,,,,,,,,1000029,100000000,20,0.0,,,,,,500001,,,,"The fragmentation of the Caldari government has often proved to be problematic when it comes to documenting events, deals and communications. The House of Records was set up by the Caldari mega corporations to act as a central source for all this information. Information on all transactions, business deals and governmental involvements within the State must be sent here and are stored in huge data banks.",1612
1000035,Caldari Navy,H,N,30000144,,,,,,,,,1000031,1000120,100000000,20,0.0,,,,,,500001,,,,"The Caldari Navy is smaller in personnel and total ships than both the Federation Navy and the Imperial Navy, yet they have more battleships than any other fleet and the average age of the Caldari ships is considerably less. This is because the Caldari are constantly replacing their oldest ships with newer ones, with better hi-tech equipment. The strategic doctrine of the Caldari Navy is simple: to be able to defeat any other navy in the world. Most experts believe it is.",1613
1000036,Internal Security,S,C,30000153,,,,,,,,,1000023,1000039,100000000,20,0.0,,,,,,500001,,,,"Internal Security is the police and security arm of the NOH mega corporation. As the mega corporations only trust each other so much, they all have their own police force to guard their properties.",1614
1000037,Lai Dai Protection Service,S,R,30001404,,,,,,,,,1000012,1000038,100000000,20,0.0,,,,,,500001,,,,"Lai Dai Protection Service is the police and security arm of the Lai Dai mega corporation. As the mega corporations only trust each other so much, they all have their own police force to guard their properties.",1615
1000038,Ishukone Watch,M,R,30001393,,,,,,,,,1000008,1000037,100000000,20,0.0,,,,,,500001,,,,"Ishukone Watch is the police and security arm of the Ishukone mega corporation. As the mega corporations only trust each other so much, they all have their own police force to guard their properties.",1616
1000039,Home Guard,L,R,30001401,,,,,,,,,1000026,1000036,100000000,20,0.0,,,,,,500001,,,,"Home Guard is the police and security arm of the Kaalakiota mega corporation. As the mega corporations only trust each other so much, they all have their own police force to guard their properties.",1617
1000040,Peace and Order Unit,M,R,30000146,,,,,,,,,1000007,1000042,100000000,20,0.0,,,,,,500001,,,,"Peace and Order Unit is the police and security arm of the Sukuuvestaa mega corporation. As the mega corporations only trust each other so much, they all have their own police force to guard their properties.",1618
1000041,Spacelane Patrol,H,N,30002780,,,,,,,,,1000024,1000043,100000000,20,0.0,,,,,,500001,,,,"Spacelane Patrol is the police and security arm of the CBD mega corporation. As the mega corporations only trust each other so much, they all have their own police force to guard their properties.",1619
1000042,Wiyrkomi Peace Corps,M,R,30001356,,,,,,,,,1000022,1000040,100000000,20,0.0,,,,,,500001,,,,"Wiyrkomi Peace Corps is the police and security arm of the Wiyrkomi mega corporation. As the mega corporations only trust each other so much, they all have their own police force to guard their properties.",1620
1000043,Corporate Police Force,L,N,30002801,,,,,,,,,1000014,1000041,100000000,20,0.0,,,,,,500001,,,,"Corporate Police Force is the police and security arm of the Hyasyoda mega corporation. As the mega corporations only trust each other so much, they all have their own police force to guard their properties.",1621
1000044,School of Applied Knowledge,T,N,30001407,,,,,,,,,1000020,,100000000,200,1.0,,,,,,500001,,,,"The School of Applied Knowledge focuses mainly on technical studies and is considered the best school for aspiring engineers. The school collaborates with many leading Caldari corporations, which benefits the school, the companies and not the least the students.",1455
1000045,Science and Trade Institute,T,N,30001392,,,,,,,,,1000016,1000022,100000000,200,1.0,,,,,,500001,,,,"Like all Caldari schools STI has a very formal curriculum that focuses primarily on the practical side of education. This results in a very dull and tedious learning process, but one that is remarkably efficient.",1453
1000046,Sebiestor Tribe,M,R,30003413,,,,,,,,,1000056,1000061,100000000,20,-1.0,,,,,,500002,,,,"The Sebiestors are technically and mechanically inclined, most Minmatar technology comes from them. The Sebiestors have always been the leading tribe in the Minmatar Republic, though their authority has many times been under attack from the crafty Krusual tribe, their main rivals in Republic politics.",1624
1000047,Krusual Tribe,M,R,30002053,,,,,,,,,1000061,1000046,100000000,20,-3.0,,,,,,500002,,,,"The Krusual tribe is sly and cunning, shrouding its ways in lies and secrecy. It is isolationist by nature, but lately it's been becoming more and more involved with the power politics of the Republic, staking a claim for its mastery.",1625
1000048,Vherokior Tribe,M,R,30002385,,,,,,,,,1000060,1000055,100000000,20,-4.0,,,,,,500002,,,,"The Vherokior tribe is perhaps the least troubled of the Minmatar tribes, with little aspirations for dominance, content to live on the fringe. Most Vherokiors are shop-keepers or small scale businessmen, seldom venturing into the big boy's league.",1626
1000049,Brutor Tribe,M,R,30002510,,,,,,,,,1000057,1000052,100000000,20,-1.0,,,,,,500002,,,,"The Brutors suffered the worst under the Amarr occupation and many of them are still enslaved within the Amarr Empire. This fuels their hate for the Amarrians and they are the only tribe to actively pursue a continuation of the war against the Amarrians and their underlings, the Ammatars.",1627
1000050,Republic Parliament,L,N,30003377,,,,,,,,,1000046,1000054,100000000,20,0.0,,,,,,500002,,,,The Parliament is the main political vehicle in the Minmatar Republic and has replaced the gathering of the tribal leaders as the place of power and decision. Though the Parliament has little say in the internal affairs of the tribes it acts as the voice of the Minmatar people to the outside world and governs the relations with foreign powers.,1466
1000051,Republic Fleet,H,N,30002544,,,,,,,,,1000049,1000123,100000000,20,-1.0,,,,,,500002,,,,"The Republic Fleet was formed from the surviving elements of the rebel fleet after the Minmatar Rebellion. Though it has not the same access to advanced weaponry or hi-tech equipment as the fleets of the other empires, it more than makes up for this with fierce spirit and clever battle tactics.",1467
1000052,Republic Justice Department,L,N,30003374,,,,,,,,,1000050,1000058,100000000,20,0.0,,,,,,500002,,,,"Once an uninspiring part of the Minmatar government the Justice Department has in recent years taken on a life of its own by supporting the Minmatar rebels. Though not an official policy of the Republic, the Justice Department promotes what most Minmatars secretly want: to defeat the Amarrians, and is thus cordially allowed by the Parliament.",1468
1000053,Urban Management,M,C,30002507,,,,,,,,,1000048,1000059,100000000,20,0.0,,,,,,500002,,,,"Originally part of the Minmatar government, Urban Management was responsible for allocating land and real estate in the wake of the Rebellion. Once the chaos subsided the company broke from the government and started operating on its own. Yet it still retains many important administrative functions in the Republic.",1469
1000054,Republic Security Services,L,G,30002544,,,,,,,,,1000047,1000051,100000000,20,-2.0,,,,,,500002,,,,"The Minmatars learnt early on in their freedom that it can only be kept by wrapping it in secrets and deceit. The vigilance of the RSS has helped the Republic weather many storms that threatened to engulf the fledgling state. The RSS has strong links with the underworld elements in the world of EVE, the information exchange and black marketing strengthens both sides.",1470
1000055,Minmatar Mining Corporation,H,N,30002050,,,,,,,,,1000057,1000062,3905859204,22,-1.0,,,,,,500002,,,,Minmatar Mining Corporation is the only Minmatar corporation still in existence that can trace its foundation to before the conquest of Minmatar space by the Amarrians. It managed to stay in business while the Amarrians ruled the Minmatars only because it was useful to the Amarrians. Now it is useful to the Republic by providing the raw materials to build a space fleet to defend the Republic against the Amarr Empire and its minions.,1471
1000056,Core Complexion Inc.,H,G,30003415,,,,,,,,,1000108,1000160,10724682014,95,0.0,,,,,,500002,,,,"The great success story of Minmatar business, Core Complexion is one of very few Minmatar corporations that have managed to succeed on a universal scale. The company combines innovative designs with cost-effective production methods to create equipment that gives much bang for the buck.",1472
1000057,Boundless Creation,M,R,30002050,,,,,,,,,1000051,1000160,967514175,54,0.0,,,,,,500002,,,,"A small, recently formed manufacturing corporation that has still to take off. Its main asset is its research facility, which the Minmatars have high hopes will produce for them in the near future.",1473
1000058,Eifyr and Co.,S,L,30003412,,,,,,,,,1000054,1000049,202293401,78,-1.0,,,,,,500002,,,,"Eifyr was founded by the renowned biochemist Kolvil Eifyr, with a support from the Krusual tribe. The company has often been suspected of developing and manufacturing illegal neural boosters, but nothing has ever been proven. In any case, the operation of the company has always been a mystery to the public, and secrecy always breeds conspiracy theories.",1474
1000059,Six Kin Development,M,R,30002510,,,,,,,,,1000055,1000053,1760338345,26,0.0,,,,,,500002,,,,"One of the many companies that was formed after the Rebellion, the Six Kin dived headfirst into the rebuilding effort. Considered to be hard working and decent the company has seen a steady growth in recent past and seems poised to become a major player in the galactic construction business in the near future.",1475
1000060,Native Freshfood,M,L,30002386,,,,,,,,,1000053,1000057,446390711,19,0.0,,,,,,500002,,,,The Amarrians had tried to eradicate the Minmatar heritage during their occupation of Minmatar space. One of them was the Minmatar cuisine and Native Freshfood has been at the forefront in establishing traditional Minmatar food all anew.,1476
1000061,Freedom Extension,H,G,30002048,,,,,,,,,1000051,1000048,4411045494,91,-2.0,,,,,,500002,,,,"Freedom Extension was founded by Minmatars that moved to the Gallente Federation following the Rebellion, but returned to the Republic to foster the good relationship between the two races. Freedom Extension is a courier company modeled after Gallentean ones and quickly established itself as the main shipping company in Minmatar space.",1477
1000062,The Leisure Group,S,N,30003414,,,,,,,,,1000058,1000106,2418429526,40,-1.0,,,,,,500002,,,,"The enigmatic Kolvil Eifyr is a large shareholder in the Leisure Group and this ties the company in with the criminal elements so strong in the shady world of Minmatar power politics. The Leisure Group is an entertainment company that is known for its barbaric, yet stirring, pleasure nodes.",1478
1000063,Amarr Constructions,L,N,30002228,,,,,,,,,1000079,1000065,15134828244,10,0.0,,,,,,500003,,,,"A low-profile, conservative construction company that likes to keep out of the lime-light. Amarr Constructions had its heyday when the Amarrians were first entering space and participated in the construction of the first star gates. The innovative side of the company is long gone, though it still retains much of its old power and majesty.",1479
1000064,Carthum Conglomerate,H,N,30001669,,,,,,,,,1000088,1000151,2117852470,99,0.0,,,,,,500003,,,,"The Carthum is a fairly new company that was formed with aid from the Caldari Lai Dai mega corporation, which owns a considerable share in the company. Carthum brought much needed vitality into the stale field of research and development and has been responsible for the respectable hi-tech gadgetry in many recent Amarrian space ships.",1480
1000065,Imperial Armaments,L,G,30003488,,,,,,,,,1000077,1000079,15146364372,61,1.0,,,,,,500003,,,,"Imperial Armaments is the largest weapon manufacturer in the world of EVE. The company manufactures a full range of weaponry, from small arms to battleships. Typically of the huge Amarr Empire, the company has always preferred quantity over quality, thus its equipment is not particularly interesting from a technological standpoint, but it is reliable and durable.",1481
1000066,Viziam,M,R,30001670,,,,,,,,,1000087,1000151,1636551567,44,0.0,,,,,,500003,,,,"Viziam is only a few years old, having been founded around the remnants of a hi-tech company that floundered. Viziam received support from the Carthum Conglomerate and has quickly risen to prominence in the industrial sector of the Amarr Empire.",1482
1000067,Zoar and Sons,L,N,30002988,,,,,,,,,1000151,1000083,4630778232,51,0.0,,,,,,500003,,,,An old company that dates back to the Moral Reform some 1500 years ago. Zoar was an influential Holder with strong ties to the royal court. He used his imperial connections to propel the company into the leading rank. After Zoar's death the company came under attack from rivals and political enemies and declined rapidly. But it managed to stay afloat and enjoys today a moderate success.,1483
1000068,Noble Appliances,M,R,30004094,,,,,,,,,1000078,1000071,1913005780,20,0.0,,,,,,500003,,,,"A small manufacturing company that specializes in customized jewelry for the very wealthy. But the company's managers have been shrewd enough to expand its production line to increase its flexibility and security. Today, the company manufactures many kinds of both luxury and mundane items, usually in high quality and small numbers.",1484
1000069,Ducia Foundry,M,G,30002989,,,,,,,,,1000067,1000064,6227746104,78,0.0,,,,,,500003,,,,"One of the few Amarr companies that has ventured outside its borders in search of business opportunities. Ducia Foundry is an energetic mining company that is willing to take chances in their search for rich minerals. The company has been known to send heavily armed mining expeditions deep into the outer regions, a risk that few respectable companies are willing to take.",1485
1000070,HZO Refinery,M,R,30003525,,,,,,,,,1000123,1000081,2701869530,25,0.0,,,,,,500003,,,,"A small, but aggressive mining company that has concentrated its operation in the highly disputed regions between Minmatar and Ammatar space. Many of these areas are very mineral rich and HZO Refinery has shown a hefty profit in recent years. The company is backed by the Ammatar authorities and the Sarum family, which has given the company the military power it needs to operate safely in this hotly contested space.",1486
1000071,Inherent Implants,S,N,30004093,,,,,,,,,,1000066,11070887166,11,0.0,,,,,,500003,,,,"Inherent Implants is the leading cyber implant company in the world of EVE, which is easy to understand as they've been in business for centuries. Inherent Implants started by catering to the needy Holders, especially the royals. This is still their largest clientele, but recently the company has also started selling to other Amarrians and even foreigners. This has increased their profit many times, but is frowned upon by the conservative elements of the Amarr Holders.",1487
1000072,Imperial Shipment,H,N,30005039,,,,,,,,,1000074,1000070,9779468085,9,-1.0,,,,,,500003,,,,"Imperial Shipment started out as the official courier service of the Amarr Emperor, but evolved some decades ago into a full fledged shipping company that operates throughout the Amarr Empire.",1488
1000073,Amarr Certified News,S,N,30005043,,,,,,,,,,,2241680486,36,0.0,,,,,,500003,,,,"The official news agency of the Amarr Empire, the only one that is sanctioned to report from the royal court. Though Amarr Certified News lack some of the independence that news agencies in the other empires enjoy, actual cases of censorship are few and far between.",1489
1000074,Joint Harvesting,H,G,30005036,,,,,,,,,1000073,1000075,12198709060,41,0.0,,,,,,500003,,,,"Joint Harvesting was formed a decade ago when several agricultural and mining companies joined together to form one giant company. One of the largest raw material companies in the world of EVE, Joint Harvesting conducts a wide variety of resource gathering and operates both inside and outside the Amarr Empire.",1490
1000075,Nurtura,L,G,30001673,,,,,,,,,1000083,1000076,12805232358,58,0.0,,,,,,500003,,,,"The Amarrians have whole planets dedicated to food production, the populous state has bitter experience from famine and wants to make sure it never experiences famine again on a large scale. Nurtura is one of the larger Amarrian agricultural companies, one that has been in the forefront of exporting basic foodstuff to the other empires.",1491
1000076,Further Foodstuffs,M,L,30002231,,,,,,,,,1000063,1000074,971855828,13,0.0,,,,,,500003,,,,"A small agricultural company jointly owned by the Ardishapur and Sarum families. The products of Further Foodstuffs are mostly used by the subjects of these two families, with what little is left surplus allowed to be sold on the open market. This has curbed the expansion opportunities of the company, though it means the fleets of Ardishapur and Sarum will never lack for food.",1492
1000077,Royal Amarr Institute,T,N,30001672,,,,,,,,,1000064,,100000000,200,1.0,,,,,,500003,,,,"One of the oldest educational facilities in the world of EVE, the institute's origin date from the era when the Amarr were still confined to their continent on Amarr Prime; before the empire and the Great Reclaiming.",1449
1000078,Imperial Chancellor,M,R,30002198,,,,,,,,,,1000080,100000000,20,1.0,,,,,,500003,,,,"The head of the executive branch of the Amarrian administration, the Imperial Chancellor is appointed by the Amarr Emperor and is answerable only to him. Though the Chancellor's authority is mostly confined to the bureaucracy of the empire, he is still considered one of the most powerful individuals within the empire.",1494
1000079,Amarr Civil Service,L,N,30002201,,,,,,,,,1000081,1000084,100000000,20,0.0,,,,,,500003,,,,The Amarr Empire is a bureaucratic juggernaut and the Amarr Civil Service has taken on a life of its own at the center of the vast web of governmental offices and institutions. The civil service is the largest employer within the empire and wields considerable political power through its ability to smother or speed up cases.,1495
1000080,Ministry of War,L,N,30002197,,,,,,,,,1000084,1000082,100000000,20,1.0,,,,,,500003,,,,"The Ministry of War wields extensive powers within the Amarr Empire through their control of the armed forces. The Ministry of War is responsible for the construction and maintenance of the Amarrian military and space navy, and it also has a great say in the foreign policy of the empire.",1496
1000081,Ministry of Assessment,L,N,30004098,,,,,,,,,1000070,1000069,100000000,20,0.0,,,,,,500003,,,,"The Ministry of Assessment is responsible for surveying and exploring the solar systems in and near Amarr space, charting lucrative asteroid belts and planets. It is also responsible for monitoring the mining activity in these same areas and organizing the mining operations of Amarrian companies.",1497
1000082,Ministry of Internal Order,L,N,30002199,,,,,,,,,1000093,1000078,100000000,20,-1.0,,,,,,500003,,,,"The Amarr authorities have vast experience in molding their citizens as they want. The Ministry of Internal Order is responsible for hunting down disgruntled elements in the society and eradicating them. Since first contact the Ministry of Internal Order is also responsible for monitoring the activities of foreigners within the Amarr border, especially Minmatar terrorist cells.",1498
1000083,Amarr Trade Registry,L,N,30002200,,,,,,,,,1000069,1000072,100000000,20,0.0,,,,,,500003,,,,"The Amarr government seeks to control as many aspects of the daily life of its citizens, especially everything that has to do with trade and communication. The Amarr Trade Registry has records of all transactions within Amarr space and also monitors all foreign trades and investment made within the empire.",1499
1000084,Amarr Navy,L,N,30002279,,,,,,,,,1000086,1000051,100000000,20,0.0,,,,,,500003,,,,"The Imperial Navy operates under the simple doctrine of applying overwhelming force to any given situation. The Imperial Navy has almost twice as many ships as the next two empire navies put together, though the quality of some of the Amarrian ships are questionable as many of them have not been refitted for decades and are almost obsolete.",1500
1000085,Court Chamberlain,S,L,30002189,,,,,,,,,1000065,1000063,100000000,20,1.0,,,,,,500003,,,,"The Court Chamberlain is the right hand of the emperor. Wherever he goes, the power of the emperor goes with him. In the emperor's absence, the Chamberlain is authorized to speak as acting head of the Empire, even on delicate political matters.

After her coronation in YC118, Empress Catiz I has chosen to restore much of the importance of the Court Chamberlain in the life and politics of the Amarr Empire.",1501
1000086,Emperor Family,L,N,30002187,,,,,,,,,1000281,1000093,100000000,20,2.0,,,,,,500003,,,,"Once a new emperor has been chosen, all ties to his old royal family are severed and he joins the holy family of the emperors, which owns vast estates throughout the empire and wields considerable political power.

Empress Catiz I, crowned in YC118, has shown signs of using the experience and wisdom of her relations in her early efforts to usher in a new age of prosperity and power for the Amarr Empire.",1502
1000087,Kador Family,M,R,30004095,,,,,,,,,1000071,1000092,100000000,20,1.0,,,,,,500003,,,,"The Kador family symbolizes the grandeur of the empire. The family has had the most emperors elected in the past and to most Amarrians they stand for the strong, majestic empire of the old.",1503
1000088,Sarum Family,M,R,30003522,,,,,,,,,1000080,1000281,100000000,20,0.0,,,,,,500003,,,,"The Sarum family has always been the most belligerent of the royal families, always willing to take up arms whenever required. The family has vested interest in the Amarr military and the armaments industry. They are the only royal family that wants to revive the Reclaiming efforts of old.",1504
